ix_name,prefix
DE-CIX Marseille,185.1.47.0/24
DE-CIX Marseille,2001:7f8:36::/64
BW-IX Karlsruhe,185.1.61.0/24
BW-IX Karlsruhe,2001:7f8:9d::/64
BENIN-IX,196.223.40.0/24
GIXA,196.201.2.0/24
GIXA,196.49.14.0/24
GIXA,2001:43f8:ae0::/48
GIXA,2001:43f8:ae1::/48
DATAIX,178.18.226.0/23
DATAIX,178.18.228.0/23
DATAIX,178.18.231.0/24
DATAIX,178.18.235.0/24
DATAIX,178.18.224.0/22
MSK-IX Saint-Petersburg,194.226.100.0/23
MSK-IX Saint-Petersburg,194.226.102.0/23
MSK-IX Saint-Petersburg,2001:7f8:20:201::/64
MSK-IX Saint-Petersburg,2001:7f8:20:202::/64
MSK-IX Stavropol,194.85.177.0/24
MSK-IX Stavropol,2001:7f8:20:901::/64
MSK-IX Vladivostok,193.232.136.0/24
MSK-IX Vladivostok,2001:7f8:20:701::/64
Netnod Gothenburg,194.68.130.0/24
Netnod Gothenburg,2001:7f8:d:100::/64
Netnod Gothenburg,195.69.116.0/24
Netnod Gothenburg,2001:7f8:d:101::/64
Netnod Lulea,194.68.131.64/26
Netnod Lulea,2001:7f8:d:400::/64
Netnod Lulea,194.68.131.128/26
Netnod Lulea,2001:7f8:d:401::/64
Netnod Sundsvall,194.68.133.0/24
Netnod Sundsvall,2001:7f8:d:300::/64
Netnod Sundsvall,194.68.135.0/24
Netnod Sundsvall,2001:7f8:d:301::/64
MegaIX Perth,202.12.243.0/24
MegaIX Perth,2001:dea:0:50::/64
BBIX Hong Kong,103.203.158.0/23
BBIX Hong Kong,2403:c780:b800:bb00::/64
UNIFI-IX,185.167.180.0/22
UNIFI-IX,2a0b:9600::/29
NAP-CO,206.223.124.128/25
NAP-CO,2001:13c7:6000::/64
Asia Smart IX [BBIX Asia],103.203.156.0/23
Asia Smart IX [BBIX Asia],2403:c780:a800:bb00::/64
TransIX Network,2404:9580:63:516::/64
TransIX Network,103.42.120.0/22
TransIX Network,58.147.184.0/21
TransIX Network,2404:9580:24:534::/64
CABASE-BRC,2001:13c7:6015::/48
CABASE-BRC,200.115.85.0/24
CABASE-BHB,2001:13c7:6009::/64
CABASE-COR,2001:13c7:600e::/64
CABASE-DLC,2001:13c7:600c::/64
CABASE-JUN,200.115.80.0/24
CABASE-JUN,2001:13c7:6010::/64
CABASE-LPL,2001:13c7:6011::/64
CABASE-MDQ,2001:13c7:6012::/64
CABASE-MZA,2001:13c7:600b::/64
CABASE-NGB,138.204.247.0/24
CABASE-NGB,2001:13c7:6019::/64
CABASE-NQN,2001:13c7:6007::/64
CABASE-PER,138.204.245.0/24
CABASE-PER,2001:13c7:6017::/64
CABASE-PMY,2001:13c7:6014::/64
CABASE-POS,2001:13c7:6013::/64
CABASE-ROS,2001:13c7:6008::/64
CABASE-SFE,2001:13c7:600d::/64
CABASE-SZP,138.204.248.0/24
CABASE-SZP,2001:13c7:6020::/64
CABASE-TUC,138.204.246.0/24
CABASE-TUC,2001:13c7:6018::/64
CABASE-SLU,138.204.244.0/24
CABASE-SLU,2001:13c7:6016::/64
CABASE-SLA,138.204.249.0/24
CABASE-SLA,2001:13c7:6021::/64
Aloha-IX,2001:504:65::/64
Aloha-IX,2001:504:65:1::/64
CRIX,200.107.83.0/24
CRIX,2801:1d:a000:1::/64
CRIX,2801:1d:a001:1::/64
CRIX,2801:1d:a001:2::/64
DE-CIX Palermo,185.1.46.0/24
DE-CIX Palermo,2001:7f8:32::/64
DE-CIX Istanbul,185.1.48.0/24
DE-CIX Istanbul,2001:7f8:3f::/64
LU-CIX,188.93.170.0/23
LU-CIX,2001:7f8:4c::/64
RoNIX,217.156.113.0/24
RoNIX,2001:7f8:49::/64
VSIX,95.140.128.0/23
VSIX,2001:7f8:5f:ffff::/64
VSIX,95.140.129.0/24
VSIX,2001:7f8:5f:ffef::/64
IIX Israel,192.114.62.0/24
IIX Israel,2001:7f8:3b::/64
TunIXP,41.231.21.0/24
M-IX,193.34.200.128/25
Lillix,193.34.197.128/25
Lillix,2001:7f8:6d::/64
PIX Toronto,206.223.127.128/25
PIX Toronto,2001:504:19:1::/64
PIX Montreal,206.223.139.0/24
MegaIX New York,206.53.173.0/24
MegaIX New York,2606:a980:0:6::/64
DTEL-IX,193.25.180.0/23
DTEL-IX,2001:7f8:63::/64
DTEL-IX,193.25.181.0/24
NDIX,193.108.98.128/25
NDIX,2001:7f8:e::/64
BBIX Osaka,2001:de8:c:2::/64
BBIX Osaka,218.100.7.0/24
IX.br (PTT.br) Lajeado,187.16.202.0/24
Peering.cz,2001:7f8:7f::/64
MIXP,196.223.0.0/24
MIXP,2001:43f8:270:d0d0::/64
STHIX (Stockholm IX),185.1.82.0/24
STHIX (Stockholm IX),2001:7f8:ad::/48
IX.br (PTT.br) Lajeado,2001:12f8:0:25::/64
IX.br (PTT.br) Maringá,187.16.201.0/24
IX.br (PTT.br) Maringá,2001:12f8:0:24::/64
IX.br (PTT.br) São Carlos,187.16.200.0/24
IX.br (PTT.br) São Carlos,2001:12f8:0:23::/64
IX.br (PTT.br) Cuiabá,187.16.203.0/24
IX.br (PTT.br) Cuiabá,2001:12f8:0:26::/64
Vegas-IX,2001:504:68:1::/64
Vegas-IX,2001:504:68::/64
Richmond-IX,2001:504:67::/64
Richmond-IX,2001:504:67:1::/64
PIT Chile,200.23.206.0/24
IX.LODZ.PL - Łódzki Węzeł Telekomunikacyjny,193.151.113.0/24
IX.LODZ.PL - Łódzki Węzeł Telekomunikacyjny,91.192.123.0/24
Aloha-IX,206.53.207.0/25
Aloha-IX,206.53.207.128/25
IX.py,201.217.14.0/24
IX Liverpool,2001:7f8:a2:8000::/50
InterLAN,2001:7f8:64:225::/64
NAP.EC - GYE,200.110.120.0/24
NAP.EC - GYE,2001:13c7:6f80::/48
inet2,85.112.122.0/23
inet2,2a00:1b30:8888::/64
AIXP,196.223.6.0/25
AIXP,2001:43f8:0:100::/64
TIX Tanzania - Mwanza IXP,196.60.0.0/24
TIX Tanzania - Mwanza IXP,2001:43f8:0:200::/64
IIFON IX Kolkata,103.74.224.0/24
IIFON IX Kolkata,2001:ded:8000::/48
Equinix Helsinki,185.1.86.0/24
OuestIX,185.1.66.0/26
OuestIX,2001:7f8:34::/64
Equinix Helsinki,2001:7f8:af::/64
Richmond-IX,206.71.9.0/25
Vegas-IX,206.71.8.128/25
Richmond-IX,206.71.9.128/25
Vegas-IX,206.71.8.0/25
TESPOK-KIXP-MBA,196.60.2.0/24
TESPOK-KIXP-MBA,2001:43f8:c0::/128
MegaIX Las Vegas,206.53.205.0/24
MegaIX Las Vegas,2606:a980:0:9::/64
AMS-IX India,223.31.200.0/24
AMS-IX India,2001:e48:44:100b::/64
SCL-IX Chile,170.246.67.0/24
NAPAfrica IX Johannesburg,196.60.8.0/23
npIX JWL,98.32.231.128/25
IIX,103.28.74.0/23
