ix_name,prefix
TRDIX,93.156.93.0/24
GR-IX,176.126.38.0/25
GR-IX,2001:7f8:6e::/64
MSK-IX Ekaterinburg,194.85.107.0/24
MSK-IX Ekaterinburg,2001:7f8:20:301::/64
France-IX Paris,2001:7f8:54::/64
SUPRnet,206.53.201.0/24
Equinix Toronto,2001:504:d:80::/64
AAIX,193.37.144.0/24
AAIX,2001:7f8:4a::/48
MSK-IX Samara,193.232.135.0/24
MSK-IX Samara,2001:7f8:20:601::/64
MSK-IX Rostov-on-Don,193.232.140.0/24
MSK-IX Rostov-on-Don,2001:7f8:20:501::/64
REUNIX,194.57.253.128/27
LIX-LV,62.63.142.0/24
INEX LAN2,194.88.240.0/25
INEX LAN2,2001:7f8:18:12::/64
MD-IX,193.17.78.0/24
MSK-IX Kazan,194.190.119.0/24
MSK-IX Kazan,2001:7f8:20:801::/64
LIPTAM,193.219.13.64/26
HKIX,202.40.160.0/23
TIX - Tanzania,2001:43f8::/64
TIX - Tanzania,196.223.5.0/24
NASA-AIX,198.9.201.0/24
NASA-AIX,198.9.202.0/24
NASA-AIX,198.32.136.0/24
NASA-AIX,198.32.153.0/24
NASA-AIX,2001:478:6663:100::/64
NASA-AIX,2001:478:6663:200::/64
Equinix Palo Alto,2001:504:d::/64
ESPANIX Lower LAN,2001:7f8:f::/64
SIX SI,2001:7f8:46::/64
SGIX,2001:de8:12:100::/64
GraX,193.105.214.0/24
MSK-IX Novosibirsk,193.232.87.0/24
MSK-IX Novosibirsk,2001:7f8:20:401::/64
SOX,2001:de8:d::/64
IX Leeds,91.217.231.0/24
CIX,193.192.15.64/26
CIX,2001:7f8:28::/48
BIX Jakarta,218.100.41.0/24
FIXO,91.198.176.0/24
FIXO,2001:7f8:41::/48
OpenIXP / NiCE,218.100.27.0/24
OpenIXP / NiCE,2001:7fa:f::/48
GU-IX,202.128.12.0/26
PIPE Networks Adelaide,210.100.3.0/24
Equinix Atlanta,2001:504:10::/64
Equinix Seattle,2001:504:12::/64
NWAX,2001:478:195::/64
ESPANIX Lower LAN,193.149.1.0/25
Equinix Hong Kong,119.27.63.0/24
MCIX - Matrix Networks,119.110.115.0/24
MCIX - Matrix Networks,119.110.116.0/23
MCIX - Matrix Networks,119.110.118.0/24
MCIX - Matrix Networks,2404:c000:4004::/64
Lviv-IX,91.192.104.0/24
CBIX,195.60.89.0/24
CBIX,2001:7f8:5e::/64
COPHIX,194.117.52.128/25
COPHIX,2001:7f8:5c::/64
Equinix Sydney,2001:de8:6::/64
Equinix Hong Kong,2001:de8:7::/64
Equinix Singapore,2001:de8:4::/64
Equinix Tokyo,203.190.230.0/24
Equinix Tokyo,2001:de8:5::/64
MyIX,218.100.44.0/24
MyIX,2001:de8:10::/112
IXPN Lagos,196.216.148.0/24
AZIX,206.223.120.0/24
AZIX,2001:504:18::/48
FICIX Helsinki,2001:7f8:7:b::/64
SUPRnet,2001:504:60::/64
NIX.CZ,91.210.16.0/22
GIX Gdansk,188.116.45.0/24
AMS-IX,2001:7f8:1::/64
BNIIX,2001:504:20:81::/64
GTIIX,2001:504:21::/64
GTIIX,206.123.0.0/24
CATNIX,193.242.98.0/24
PIRIX,193.28.6.0/24
IX Australia VIC,218.100.78.0/24
IX Australia VIC,2001:7fa:11:1::/64
COIX,206.197.131.0/24
TorIX,206.108.34.0/23
DE-CIX Frankfurt,2001:7f8::/64
Netnod Stockholm,194.68.123.0/24
Netnod Stockholm,195.245.240.0/24
Netnod Stockholm,194.68.128.0/24
Netnod Stockholm,195.69.119.0/24
Netnod Stockholm,2001:7f8:d:ff::/64
Netnod Stockholm,2001:7f8:d:fc::/64
Netnod Stockholm,2001:7f8:d:fe::/64
Netnod Stockholm,2001:7f8:d:fb::/64
CePIX.pl,193.8.61.192/26
LINX LON1,2001:7f8:4::/64
LINX LON2,2001:7f8:4:1::/64
BCIX,2001:7f8:19::/48
JINX,196.223.14.0/24
JINX,2001:43f8:1f0::/64
JINX,196.223.15.0/24
JINX,2001:43f8:1f0:1::/64
CINX,196.223.22.0/24
CINX,2001:43f8:1f1::/64
CINX,196.223.23.0/24
CINX,2001:43f8:1f1:1::/64
MOZIX,192.168.10.0/24
Content-IX,193.105.116.0/24
MKE-IX,204.107.122.0/25
MKE-IX,2001:19e0:ffff::/64
SIX SI,91.220.194.0/24
MSK-IX Moscow,2001:7f8:20:101::/64
Rheintal IX,91.232.229.0/24
Rheintal IX,2001:7f8:66::/64
DRF IX,206.197.210.0/24
Thinx,212.91.0.0/22
Thinx,2001:7f8:60::/48
JXIX,206.123.7.0/24
JPIX,2001:de8:8::/64
JPIX OSAKA,103.246.232.0/24
Boston Internet Exchange,206.108.236.0/24
APE,192.203.154.0/24
APE,2001:7fa:4:c0cb::/64
WIX-NZ,202.7.0.0/23
WIX-NZ,2001:7fa:3:ca07::/64
CHIX-NZ,218.100.24.0/24
PNIX,218.100.21.0/24
ESPANIX Upper LAN,193.149.1.128/25
ESPANIX Upper LAN,2001:7f8:f:1::/64
HIX Haiti,200.0.18.0/24
LINX LON2,195.66.236.0/22
TPIX,2001:7f8:27::/48
TPIX,195.149.232.0/23
Equinix Paris,2001:7f8:43::/64
CoreSite - Any2 Denver ,2605:6c00:303:303::/64
FR-IX,91.216.67.0/24
FR-IX,2001:7f8:59:0:75::/96
BBIX Tokyo,2001:de8:c::/64
NYIIX,206.51.30.0/24
NYIIX,2001:504:1::/64
NYIIX,2001:504:1:9::/64
iAIX,2403:2400:1100::/64
MIX-IT,2001:7f8:b:100::/64
MIX-IT,217.29.68.0/23
MIX-IT,2001:7f8:b:101::/64
SOX d.o.o. Serbia,193.105.163.0/24
TP-IX,206.223.125.0/25
TP-IX,206.223.125.128/25
TP-IX,2001:504:29::/64
Equinix Ashburn,206.126.236.0/22
RDC-IX Kinshasa,196.223.28.0/24
RDC-IX Kinshasa,2001:43f8:3c0::/48
CIXP,192.65.185.0/24
UAE-IX,185.1.8.0/24
UAE-IX,2001:7f8:73::/64
BiX,2001:7f8:35::/64
GCIIX,206.123.30.0/24
GCIIX,2001:504:22:30::/64
GigaPix,2001:7f8:a:1::/64
INXS by ecix,2001:7f8:2c:1000::/64
LONAP,5.57.80.0/22
CoreSite - Any2 Denver ,206.51.46.0/24
MD-IX,2001:7f8:6a::/64
IXManchester,195.66.244.0/24
IXManchester,2001:7f8:4:2::/64
CIXP,2001:7f8:1c:24a::/64
AMS-IX Hong Kong,103.247.139.0/25
AMS-IX Hong Kong,2001:df0:296::/64
CATNIX,2001:7f8:2a::/64
SGIX,103.16.102.0/23
IX Australia SA,218.100.54.0/25
IX Australia SA,2001:7fa:11:3::/64
ECIX-FRA,62.69.146.0/23
ECIX-FRA,2001:7f8:8:20::/64
CAIX,2001:4300:96::/64
CAIX,81.21.96.0/24
R_ix,91.194.218.0/24
AMS-IX Caribbean,200.0.20.0/24
AMS-IX Caribbean,2001:13c7:6004::/64
Lyonix,77.95.71.0/24
Lyonix,2001:7f8:47:47::/64
MICE,206.108.255.0/24
MICE,2001:504:27::/64
YAR-IX,91.203.127.0/24
YAR-IX,2001:7f8:77::/64
IX.br (PTT.br) Belo Horizonte,200.219.139.0/24
IX.br (PTT.br) Belo Horizonte,2001:12f8:0:3::/64
IX.br (PTT.br) Brasília,200.192.110.0/24
IX.br (PTT.br) Brasília,2001:12f8:0:13::/64
IX.br (PTT.br) Campina Grande,200.192.109.0/24
IX.br (PTT.br) Campina Grande,2001:12f8:0:12::/64
IX.br (PTT.br) São Paulo,187.16.216.0/21
IX.br (PTT.br) São Paulo,2001:12f8::/64
IX.br (PTT.br) Porto Alegre,200.219.143.0/24
IX.br (PTT.br) Porto Alegre,2001:12f8:0:6::/64
IX.br (PTT.br) Curitiba,200.219.140.0/24
IX.br (PTT.br) Curitiba,2001:12f8:0:4::/64
IX.br (PTT.br) Florianópolis,200.219.141.0/24
IX.br (PTT.br) Florianópolis,2001:12f8:0:5::/64
IX.br (PTT.br) Rio de Janeiro,200.219.138.0/24
IX.br (PTT.br) Rio de Janeiro,2001:12f8:0:2::/64
IX.br (PTT.br) Londrina,200.219.144.0/24
IX.br (PTT.br) Londrina,2001:12f8:0:7::/64
IX.br (PTT.br) Campinas,200.192.108.0/24
IX.br (PTT.br) Campinas,2001:12f8:0:11::/64
IX.br (PTT.br) Salvador,200.219.145.0/24
IX.br (PTT.br) Salvador,2001:12f8:0:8::/64
IX.br (PTT.br) Caxias do Sul,187.16.197.0/24
IX.br (PTT.br) Caxias do Sul,2001:12f8:0:20::/64
IX.br (PTT.br) Goiânia,200.192.111.0/24
IX.br (PTT.br) Goiânia,2001:12f8:0:14::/64
IX.br (PTT.br) São José dos Campos,187.16.192.0/24
IX.br (PTT.br) São José dos Campos,2001:12f8:0:15::/64
IX.br (PTT.br) Recife,200.219.147.0/24
IX.br (PTT.br) Recife,2001:12f8:0:10::/64
IX.br (PTT.br) Vitória,187.16.194.0/24
IX.br (PTT.br) Vitória,2001:12f8:0:17::/64
IX.br (PTT.br) Manaus,187.16.198.0/24
IX.br (PTT.br) Manaus,2001:12f8:0:21::/64
IX.br (PTT.br) Natal,187.16.196.0/24
IX.br (PTT.br) Natal,2001:12f8:0:19::/64
IX.br (PTT.br) São José do Rio Preto,187.16.199.0/24
IX.br (PTT.br) São José do Rio Preto,2001:12f8:0:22::/64
IX.br (PTT.br) Fortaleza,200.219.146.0/24
IX.br (PTT.br) Fortaleza,2001:12f8:0:9::/64
IX.br (PTT.br) Belém,187.16.195.0/24
IX.br (PTT.br) Belém,2001:12f8:0:18::/64
IX Australia NSW,218.100.52.0/24
IX Australia NSW,2001:7fa:11:4::/64
IX Australia WA,2001:7fa:11::/64
IX Australia QLD,218.100.76.0/24
IX Australia QLD,2001:7fa:11:2::/64
NetIX,193.218.0.0/24
NetIX,2001:67c:29f0::/64
DE-CIX Frankfurt,80.81.199.0/24
France-IX Paris,37.49.236.0/23
Peering.cz,91.213.211.0/24
IXScotland,195.66.246.0/24
OCIX,200.0.22.0/23
OCIX,2001:13c7:6002::/48
DO-IX,185.1.18.0/24
DO-IX,2001:67c:2b9c::/48
IXScotland,2001:7f8:4:3::/64
WPGIX,206.126.109.0/24
WPGIX,2001:504:2c::/116
SFMIX,2001:504:30::/48
OmahaIX,206.126.235.0/26
OmahaIX,2001:504:33::/64
MegaIX Sydney,103.26.68.0/23
MegaIX Sydney,2001:dea:0:10::/64
QIX,198.179.18.0/24
LINX NoVA,206.55.196.0/23
LINX NoVA,2001:504:31::/64
Sibir-IX,84.22.159.0/24
QIX,2620:1f:4000::/48
BNIIX,206.130.61.0/24
DE-CIX New York,206.130.10.0/24
DE-CIX New York,2001:504:36::/64
AMS-IX NY,206.126.240.0/24
AMS-IX NY,2001:504:34:1::/64
PIRIX,2001:7f8:82::/64
SLIX,204.228.158.0/24
SLIX,2607:fa18:1:f00::/64
CoreSite - Any2 California,206.72.210.0/23
TPAIX,206.108.114.0/24
TorIX,2001:504:1a::34:0/111
OCIX Duesseldorf,2001:7f8:3a:e201::/64
SH-IX,185.1.15.0/24
SH-IX,2001:7f8:7a::/64
OCIX Frankfurt,194.54.93.0/25
OCIX Frankfurt,2001:7f8:3a:e202::/64
B-IX,217.174.157.0/24
Phoenix IX,206.41.105.0/24
Phoenix IX,2001:504:3b::/64
DATAIX,178.18.230.0/24
DATAIX,178.18.232.0/24
DATAIX,178.18.233.0/24
DATAIX,2a03:5f80:4::/64
DATAIX,2a03:5f80:4:1::/64
DATAIX,2a03:5f80:4:2::/64
DATAIX,2a03:5f80:7::/64
YYCIX,206.126.225.0/24
YYCIX,2001:504:2f::/64
TOUIX,2001:7f8:68::/48
MegaIX Melbourne,103.26.71.0/24
MegaIX Melbourne,2001:dea:0:30::/64
MegaIX Brisbane,103.26.70.0/24
MegaIX Brisbane,2001:dea:0:20::/64
B-IX,185.1.30.0/24
B-IX,2001:7f8:8e::/48
InterLAN,86.104.125.0/24
AMS-IX Chicago,206.108.115.0/24
AMS-IX Chicago,2001:504:38:1::/64
FL-IX,206.41.108.0/24
FL-IX,2001:504:40:108::/64
TPIX-TW,203.163.222.0/24
TPIX-TW,2406:d400:1:133:203:163:222:0/112
AMS-IX,80.249.208.0/21
ChIX,206.41.110.0/24
MiamiIX,198.78.5.0/24
MiamiIX,2607:fe60:aaaa::/64
NDB,198.32.122.0/24
KIXP,196.223.21.0/24
KIXP,2001:43f8:60:1::/64
ACTIX,218.100.59.0/24
ACTIX,2001:de8:9::/64
UIXP,196.223.25.0/25
UIXP,2001:43f8:130::/64
Boston Internet Exchange,2001:504:24:1::/64
MBIX,206.72.208.0/24
MBIX,2001:504:26::/64
France-IX Marseille,37.49.232.0/24
BBIX Singapore,103.231.152.0/22
BBIX Singapore,2001:df5:b800:bb00::/64
AMS-IX BA,206.41.106.0/24
AMS-IX BA,2001:504:3d:1::/64
DjIX,196.223.38.0/24
DjIX,2001:43f8:9c0:1000::/64
IX Australia ACT,218.100.54.128/25
IX Australia ACT,2001:7fa:11:5::/64
AKL-IX,43.243.21.0/24
AKL-IX,2001:7fa:11:6::/64
MegaIX Auckland,43.243.22.0/23
MegaIX Auckland,2001:dea:0:40::/64
NAPAfrica IX Cape Town,196.10.140.0/24
NAPAfrica IX Cape Town,2001:43f8:6d1::/64
NAPAfrica IX Durban,196.10.141.0/24
NAPAfrica IX Durban,2001:43f8:6d2::/64
NAPAfrica IX Johannesburg,2001:43f8:6d0::/64
CyrusOne IX Dallas,198.32.130.0/24
CyrusOne IX Dallas,2001:478:130::/64
CyrusOne IX Houston,198.32.96.0/23
CyrusOne IX Houston,2001:478:96::/64
CyrusOne IX Phoenix,198.32.98.0/24
CyrusOne IX Phoenix,2001:478:98::/64
VIX.VU,103.25.228.0/24
VIX.VU,2001:dec:0:1::/64
DET-IX,209.124.52.0/23
DET-IX,2607:f790:100::/64
angonix,196.11.234.0/24
angonix,2001:43f8:9d0::/64
Tirol-IX,185.1.31.0/24
Tirol-IX,2001:7f8:8d::/64
ChIX,2001:504:41:110::/64
BNIX,2001:7f8:26::/64
BNIX,2001:7f8:26:8000::/64
SIX.SK,192.108.148.0/24
